mouse_gene,human_gene,mouse_delta_AD_minus_WT,human_delta_AD_minus_Control,human_p,human_fdr,mouse_padj,same_direction
Acsl3,ACSL3,-0.5545374665678238,-0.04532624270285157,0.6857142857142857,1.0,8.934513191586437e-30,True
Adcy1,ADCY1,-0.0699152612221981,-0.10259959426429999,0.4857142857142857,1.0,3.668226581770659e-15,True
Adgrl1,ADGRL1,0.4522863401764384,0.4608398799950514,0.2,0.9695364238410596,3.1528247790038897e-34,True
Afdn,AFDN,0.3471326503706021,0.09638888888888897,1.0,1.0,0.0001079011226749,True
Agpat3,AGPAT3,-0.2977034785545424,-0.07458623430319744,0.8857142857142857,1.0,0.0008102338470985,True
Agtpbp1,AGTPBP1,0.0733487909929524,-0.05583413486189426,0.4857142857142857,1.0,8.650866772939539e-07,False
Ahcyl1,AHCYL1,0.0507936257364863,-0.210713307607591,0.11428571428571428,0.9506493506493506,1.7944235400176493e-22,False
Aimp1,AIMP1,0.0325275074992871,-0.07626764675240627,0.4857142857142857,1.0,0.0012162031896125,False
Ak1,AK1,-0.3563783408808511,0.05822342944859285,0.34285714285714286,1.0,2.230945033924115e-17,False
Akap6,AKAP6,-0.0279043283078691,0.22189240957218348,0.6857142857142857,1.0,0.4423294101194645,False
Akt3,AKT3,0.2666739372734575,0.015153017417687153,0.8857142857142857,1.0,9.793390412376702e-22,True
Anapc16,ANAPC16,-0.3493614508554747,-0.07100696371188953,0.6857142857142857,1.0,3.2114015522621806e-14,True
Ank3,ANK3,-0.4473355203193028,-0.02292220221929553,0.8857142857142857,1.0,2.1283183892915767e-87,True
Ankrd12,ANKRD12,0.3833504730249095,-0.0607559208429867,0.34285714285714286,1.0,7.707009783063948e-08,False
Ankrd17,ANKRD17,0.0398290598290598,-0.017870008059764186,0.8857142857142857,1.0,0.6671712446854173,False
Anks1b,ANKS1B,0.1127341572432565,-0.0029437909215306313,0.6857142857142857,1.0,1.2768597589933264e-35,False
Anp32a,ANP32A,-0.1199647841218065,-0.023185811910185428,0.7,1.0,1.3067653534550089e-49,True
Ap1s2,AP1S2,0.0987586988183883,-0.04579184410340709,0.6857142857142857,1.0,0.0033196322621632,False
Ap2b1,AP2B1,0.0684224292519224,0.03774462824839919,0.2,0.9695364238410596,0.0075635244443651,True
Ap2m1,AP2M1,0.0556259588042666,-0.014272257919553555,0.1,0.9506493506493506,8.471220020143142e-59,False
Apba2,APBA2,-0.614707740704786,0.029729824266184424,1.0,1.0,2.118876719335659e-243,False
Apc,APC,0.2452225513861456,-0.05639333920033307,1.0,1.0,1.6936383006739773e-05,False
App,APP,0.0220773933740032,-0.008460481039106904,1.0,1.0,7.366540505199178e-13,False
Arf3,ARF3,0.0527779244410845,-0.0028450408937467087,1.0,1.0,7.298612666990896e-37,False
Arglu1,ARGLU1,-0.3887955182072829,-0.19309870714907262,1.0,1.0,9.09648219856609e-05,True
Arhgap21,ARHGAP21,-0.0678907388239902,-0.05636445522294431,0.05714285714285714,0.9506493506493506,4.6585379721434487e-08,True
Arhgap32,ARHGAP32,0.1060791943595064,0.10433300587454652,0.34285714285714286,1.0,0.2088580068669098,True
Arhgap5,ARHGAP5,0.3261671840047566,-0.03550009898037343,1.0,1.0,4.1198982240702313e-16,False
Arhgef12,ARHGEF12,0.2528558623980017,0.10834291150742958,1.0,1.0,2.4477214873128733e-05,True
Armc8,ARMC8,-0.0142756662647457,-0.04302316537009898,1.0,1.0,0.8583039598504548,True
Armcx3,ARMCX3,-0.0951628968674423,-0.019001268412540573,0.7,1.0,0.1139173290337546,True
Arpc5,ARPC5,0.005317388907002,0.017527042956132166,0.7,1.0,0.5763687075598666,True
Arpp19,ARPP19,-0.1669086946839765,-0.050519127046003254,0.2,0.9695364238410596,4.4478850263367083e-131,True
Arpp21,ARPP21,0.7537828172477095,0.2042648369096794,0.4857142857142857,1.0,0.0,True
Asph,ASPH,0.0905591322257989,0.03847372368864349,0.4857142857142857,1.0,0.0836454657445501,True
Atp1a2,ATP1A2,-0.2473530487514569,-0.07285851217439332,0.8857142857142857,1.0,0.0,True
Atp1b1,ATP1B1,-0.0517891610864552,-0.0022600627424976816,0.7,1.0,0.0,True
Atp2b1,ATP2B1,0.2683448747178911,-0.10253369069872009,0.34285714285714286,1.0,2.9019872341960798e-105,False
Atp2b2,ATP2B2,0.0102652232097265,-0.3468600645988955,0.11428571428571428,0.9506493506493506,0.279255457313167,False
Atp2c1,ATP2C1,0.1912120600874263,-0.0738788588389423,0.4857142857142857,1.0,0.0210292904654606,False
Atp6v1e1,ATP6V1E1,0.0035316395923863,-0.06857296037184446,0.2,0.9695364238410596,0.0013160896702857,False
Atp8a1,ATP8A1,0.0536428900744251,0.009611178959925026,1.0,1.0,0.1374823554410983,True
Atpaf1,ATPAF1,-0.3101634769179949,-0.017998407056562193,0.8857142857142857,1.0,0.0001076263230886,True
Atxn7l3b,ATXN7L3B,-0.0512382700986542,0.014749927865761236,1.0,1.0,0.0002076515577871,False
Azi2,AZI2,0.3759066498846234,-0.042146616763661715,0.6857142857142857,1.0,1.0062874196894035e-05,False
Baiap2,BAIAP2,0.0625783150633675,-0.05263324056696739,0.4857142857142857,1.0,8.048712951046511e-09,False
Bcap29,BCAP29,-0.7933256022663379,-0.24195290753177717,0.11428571428571428,0.9506493506493506,5.386198141118086e-09,True
Bnip3,BNIP3,0.044560607496191,-0.014084320219933333,1.0,1.0,0.0023789899415847,False
Bptf,BPTF,-0.4886511539076518,-0.4855236928275212,0.1,0.9506493506493506,6.186596145603347e-17,True
Brwd1,BRWD1,-0.1506355929993148,0.05763252211348077,0.34285714285714286,1.0,0.0133535282686477,False
Btbd3,BTBD3,-0.9797219835900616,-0.00025731074508672513,0.8857142857142857,1.0,6.538689672846031e-33,True
Cacna2d1,CACNA2D1,0.1252068302068303,-0.02752498098560152,0.7,1.0,0.0304415900265208,False
Cadm1,CADM1,0.0995735899644645,-0.008606145304479895,0.8857142857142857,1.0,3.601282866168537e-10,False
Cadm2,CADM2,0.0835813486453647,-0.022010709279664975,0.4857142857142857,1.0,0.0002036953947693,False
Cadm3,CADM3,-0.6728033957409442,0.5220144296537936,0.4,1.0,2.2877505260670622e-64,False
Calm1,CALM1,0.267748527090124,0.06872298889838646,0.11428571428571428,0.9506493506493506,0.0,True
Calm2,CALM2,-0.1145638934256229,0.023739405502912092,0.6857142857142857,1.0,4.5966487751339714e-142,False
Calm3,CALM3,0.2452861923886556,0.05609456356323905,0.8857142857142857,1.0,2.5490299965022293e-283,True
Camk1d,CAMK1D,0.3894200308891618,-0.011763812324855238,0.6857142857142857,1.0,3.3198165577664764e-263,False
Camk2g,CAMK2G,0.0201730446817154,-0.026966169609286328,0.4,1.0,0.0002544607371961,False
Camk2n1,CAMK2N1,0.1805923384627393,0.06132108276991499,0.2,0.9695364238410596,0.0,True
Camsap2,CAMSAP2,0.3388238495570653,-0.14625272653371701,0.2,0.9695364238410596,4.413666961034288e-05,False
Camta1,CAMTA1,0.0636794445184558,0.01537648899997257,1.0,1.0,1.6486925197315544e-08,True
Canx,CANX,0.0274360668884596,0.03653095416365448,0.6857142857142857,1.0,3.3269988903795784e-08,True
Caprin1,CAPRIN1,-0.2936961350366561,-0.06338280483818243,1.0,1.0,1.4672489346229356e-14,True
Cbx5,CBX5,0.3212383192546167,0.007152196340497796,0.8857142857142857,1.0,1.984544194000904e-17,True
Ccdc34,CCDC34,0.115478331916688,-0.017557326411694996,1.0,1.0,0.0581649275041807,False
Ccdc91,CCDC91,0.4430141287284145,0.04432795071669848,1.0,1.0,8.54499509677286e-06,True
Ccdc92,CCDC92,-0.6445266941672692,-0.039781626250094404,0.4857142857142857,1.0,0.0,True
Ccni,CCNI,0.1317604983156253,0.019075139875274538,0.7,1.0,0.0032627418919314,True
Ccny,CCNY,0.0319203371515284,-0.1340275229926705,0.11428571428571428,0.9506493506493506,0.6486525731803164,False
Ccpg1,CCPG1,-0.6210660866910868,-0.07264285728896847,0.6857142857142857,1.0,4.31482163710884e-08,True
