gene,n_disease,n_control,median_disease,median_control,delta_disease_minus_control,cliffs_delta,p_value,fdr_BH,delta_ci95_lo,delta_ci95_hi
SEC62,4,4,0.3371170385962604,0.43268826048673825,-0.09557122189047784,-1.0,0.02857142857142857,0.9506493506493506,-0.26997837849026574,-0.04221467756833708
SCD,4,4,0.9362828469150084,0.8268413723173711,0.10944147459763731,1.0,0.02857142857142857,0.9506493506493506,0.03999647537883633,0.18359258930469424
JPT1,4,4,0.7039794178540981,0.8513509879155161,-0.147371570061418,-1.0,0.02857142857142857,0.9506493506493506,-0.3396577714341902,-0.027513439417051533
ARID4B,4,4,0.45069035288664666,0.7954281567489114,-0.34473780386226477,-1.0,0.02857142857142857,0.9506493506493506,-0.53173067816868,-0.24129412323625826
NALF1,4,4,0.729052033492823,0.8883233610010903,-0.15927132750826734,-1.0,0.02857142857142857,0.9506493506493506,-0.24538102299754905,-0.056275900025900105
RORA,4,4,0.7894261656307616,0.8900491887180739,-0.1006230230873123,-1.0,0.02857142857142857,0.9506493506493506,-0.15529252749057332,-0.08254586423600507
HDGFL3,4,4,0.12204365464397546,0.3955487962927694,-0.2735051416487939,-1.0,0.02857142857142857,0.9506493506493506,-0.6033912969329415,-0.15455209003687562
MYCBP2,4,4,0.9287296037296038,0.9845538824268412,-0.055824278697237384,-1.0,0.02857142857142857,0.9506493506493506,-0.08323229652375741,-0.013671261862691964
GHITM,4,4,0.9081572346521345,0.8423619030571305,0.06579533159500395,1.0,0.02857142857142857,0.9506493506493506,0.02110574071542226,0.8930818577677124
FGF14,4,4,0.26258389261744963,0.5460773889800993,-0.28349349636264964,-1.0,0.02857142857142857,0.9506493506493506,-0.4581743612423885,-0.17105400778882918
RIF1,4,4,0.6325478645066274,0.8570809499046628,-0.2245330853980354,-1.0,0.02857142857142857,0.9506493506493506,-0.29641131815044863,-0.14118698508744806
QDPR,4,4,0.08982391482391483,0.9110363482679313,-0.8212124334440165,-1.0,0.02857142857142857,0.9506493506493506,-0.8951409555605728,-0.04121664954998289
SLC4A10,4,4,0.840181594336719,0.9412659341119937,-0.10108433977527465,-1.0,0.02857142857142857,0.9506493506493506,-0.33736983021588973,-0.06105390217028653
UQCRB,4,4,0.009803093459508565,0.04680773457206776,-0.03700464111255919,-1.0,0.02857142857142857,0.9506493506493506,-0.055581735857715954,-0.01470685103179797
PPP3CA,4,4,0.6195036419939302,0.9681240008148861,-0.348620358820956,-1.0,0.02857142857142857,0.9506493506493506,-0.5619896803495239,-0.11089573847090461
PPFIA2,4,4,0.8073550286525419,0.9265092329545455,-0.11915420430200352,-1.0,0.02857142857142857,0.9506493506493506,-0.2005402267688352,-0.02909786956075
SEPTIN11,4,4,0.40689071828312334,0.7208484432034381,-0.31395772492031476,-1.0,0.02857142857142857,0.9506493506493506,-0.5565466160826702,-0.1906176338329204
ZC3H13,4,4,0.40111855229410087,0.6690740250705296,-0.2679554727764287,-1.0,0.02857142857142857,0.9506493506493506,-0.44844544711156475,-0.1973173738253512
GRIA4,4,4,0.2549429856679569,0.882628933668923,-0.6276859480009661,-0.875,0.05714285714285714,0.9506493506493506,,
NUDC,4,4,0.3438250533712862,0.9057245732198076,-0.5618995198485214,-0.875,0.05714285714285714,0.9506493506493506,,
ENSA,4,4,0.8250475817899114,0.7208149065671956,0.10423267522271584,0.875,0.05714285714285714,0.9506493506493506,,
EPB41L2,4,4,0.28483809526293585,0.7649986896750167,-0.48016059441208087,-0.875,0.05714285714285714,0.9506493506493506,,
PAK3,4,4,0.4503186325968557,0.879718839799901,-0.4294002072030453,-0.875,0.05714285714285714,0.9506493506493506,,
RBM8A,4,4,0.3973961439077718,0.5390821392948763,-0.14168599538710447,-0.875,0.05714285714285714,0.9506493506493506,,
GABBR2,4,4,0.9625635049714123,0.8247839856115264,0.13777951935988586,0.875,0.05714285714285714,0.9506493506493506,,
NFIA,4,4,0.6557669874599008,0.9074368009726494,-0.25166981351274864,-0.875,0.05714285714285714,0.9506493506493506,,
TPT1,4,4,0.7076126133713252,0.64299762604343,0.06461498732789517,0.875,0.05714285714285714,0.9506493506493506,,
MPHOSPH8,4,4,0.732586512866016,0.9063657050814293,-0.17377919221541338,-0.875,0.05714285714285714,0.9506493506493506,,
TBC1D9B,4,4,0.6602859992577472,0.5602802569509053,0.1000057423068419,0.875,0.05714285714285714,0.9506493506493506,,
ARHGAP21,4,4,0.9279245834880137,0.984289038710958,-0.05636445522294431,-0.875,0.05714285714285714,0.9506493506493506,,
S100B,4,4,0.9040287519487427,0.8370386974722028,0.06699005447653983,0.875,0.05714285714285714,0.9506493506493506,,
SYNCRIP,4,4,0.5565262379896527,0.749295392870454,-0.19276915488080126,-0.875,0.05714285714285714,0.9506493506493506,,
SLC8A1,4,4,0.573974358974359,0.8337926443720126,-0.2598182853976536,-0.875,0.05714285714285714,0.9506493506493506,,
NCS1,4,4,0.3790437119664376,0.809660823742338,-0.43061711177590045,-0.875,0.05714285714285714,0.9506493506493506,,
SSU72,4,4,0.9423665088734343,0.9663297909142923,-0.02396328204085796,-0.875,0.05714285714285714,0.9506493506493506,,
SEPTIN4,4,4,0.9530664325518761,0.8776049840892025,0.07546144846267355,0.875,0.05714285714285714,0.9506493506493506,,
DLG2,4,4,0.852592118211212,0.939326971979366,-0.08673485376815404,-0.875,0.05714285714285714,0.9506493506493506,,
PPP2R5C,4,4,0.683171483875201,0.8669876686489144,-0.18381618477371342,-0.875,0.05714285714285714,0.9506493506493506,,
CEBPZOS,4,4,0.5110017756732761,0.7835138115011687,-0.27251203582789263,-0.875,0.05714285714285714,0.9506493506493506,,
