gene,delta_AD_minus_Control,p_value,fdr_BH,present_in_mouse_ref
APP,-0.008460481039106904,1.0,1.0,True
ARPP19,-0.050519127046003254,0.2,0.9695364238410596,True
BIN1,,,,False
GRIN1,,,,False
MAPK8IP2,,,,False
MAPT,0.12519169739849334,1.0,1.0,True
NCAM2,-0.051244083946299646,0.6857142857142857,1.0,False
NDUFA5,,,,True
OGDHL,,,,False
RPL34,0.08809626446589233,0.8857142857142857,1.0,False
RPL38,,,,False
RPL5,-0.06532868718177132,0.6857142857142857,1.0,True
SNCA,-0.03014071505886118,0.34285714285714286,1.0,False
SV2B,-0.5142466531915222,0.4857142857142857,1.0,False
UBE2L3,-0.06257150229935982,0.34285714285714286,1.0,True
UBR1,,,,False
VAMP2,-0.060499761697091925,0.6857142857142857,1.0,False
VDAC2,,,,False
WDR6,,,,False
YWHAZ,-0.10231055474044881,0.4857142857142857,1.0,True
