gene,SRR24710558,SRR24710556,SRR24710554,SRR24710705,SRR24710703,SRR24710564,SRR24710562,SRR24710560
A2M,,,0.6994350282485876,,0.7874544945393447,,,
AAGAB,0.1653363740022805,,,0.13513513513513514,0.977725674091442,0.18505338078291814,,
AAK1,0.6743153219837158,0.7615894039735099,0.5166112956810631,0.6908752327746741,0.6879669368939755,0.4664310954063604,0.6936308693630869,0.5527777777777778
AAMDC,,0.8316831683168316,,,,0.5795454545454546,,
AARS2,,,,,,,0.27608346709470305,
AARSD1,,,,,0.9796296296296296,,,
AASDH,,,,,,,0.8487394957983193,
AASDHPPT,0.6973732889382168,,,,0.7900363049616781,0.9368029739776952,,0.8212996389891697
AASS,,,,,0.9021406727828746,,,
AATK,,0.03296703296703297,0.205607476635514,0.04264705882352941,0.1459322033898305,0.05122950819672131,0.03579209461562403,
ABAT,,,0.9665071770334929,0.971063829787234,0.9715680033948653,0.9743119266055046,0.9646877069079673,
ABCA10,0.4649122807017544,,,,,,,
ABCA5,,,,0.3670886075949367,0.22299168975069253,0.6270270270270271,0.8455790784557908,
ABCA8,,0.8444084278768234,0.8537735849056604,,0.8880031885213232,0.8802816901408451,0.8680947012401353,
ABCB7,0.453781512605042,,,,,0.4117647058823529,0.3722466960352423,0.3275862068965517
ABCB8,0.9368932038834952,0.3137254901960784,0.2892561983471074,0.265,0.3797814207650273,0.7719298245614035,0.38166047087980176,
ABCB9,,,,,,,0.8626292466765141,
ABCC5,0.5922779922779923,0.627906976744186,,0.6596774193548387,0.9892387405340773,0.7634408602150538,0.5964426877470356,0.7695035460992907
ABCC9,,,,,0.6435643564356436,,,
ABCD3,,,,0.9511494252873564,,,0.9409956976029502,
ABCE1,,0.6183206106870229,0.25793650793650796,,0.9373259052924791,,,
ABCF1,0.8890030832476875,,,,0.9215547703180212,,,
ABCF2,,0.39285714285714285,,0.45972495088408644,0.4338417878680383,0.382089552238806,,0.40609137055837563
ABCG1,,0.6590909090909091,,,0.8802816901408451,,,
ABCG2,,,,0.391304347826087,,0.4368932038834951,0.3716577540106952,
ABHD10,0.7975391498881432,,,0.9314420803782506,0.8881431767337807,0.9427710843373494,,
